id,brand_name,generic_name,brand_price,generic_price,chronic_keywords,target_patients,health_issues
13,Dolo 650,Paracetamol 650mg,30,12,"fever, pain (acute)","General population, adults and children","Fever, headache, body pain, mild to moderate pain"
14,Allegra 120,Fexofenadine 120mg,273,145,"allergic rhinitis, urticaria (chronic allergies)",Adults with seasonal allergies,"Runny nose, sneezing, itching, hives, allergic reactions"
15,Lasix 40,Furosemide 40mg,18,8,"edema, heart failure, hypertension (chronic)","Adults with fluid retention, heart failure, high BP","Fluid retention, swelling, high blood pressure, heart failure"
16,Lopressor 50,Metoprolol 50mg,65,28,"hypertension, angina, heart failure (chronic)","Adults with high blood pressure, angina, post-MI","High blood pressure, chest pain, heart failure, post heart attack"
17,Cozaar 50,Losartan 50mg,145,68,"hypertension, heart failure, diabetic nephropathy (chronic)","Adults with high blood pressure, diabetes with kidney disease","High blood pressure, heart failure, kidney protection in diabetes"
18,Glucotrol 5,Glipizide 5mg,42,18,type 2 diabetes (chronic),Adults with type 2 diabetes,High blood sugar in type 2 diabetes mellitus
19,Zestril 5,Lisinopril 5mg,78,35,"hypertension, heart failure (chronic)","Adults with high blood pressure, heart failure","High blood pressure, heart failure, post heart attack"
20,Cardace 2.5,Ramipril 2.5mg,88,42,"hypertension, heart failure, post-MI (chronic)","Adults with high blood pressure, heart failure, post-MI","High blood pressure, heart failure, cardiovascular protection"
21,Cipcal 500,Calcium Carbonate 500mg,65,28,"osteoporosis, calcium deficiency (chronic)","Adults with calcium deficiency, postmenopausal women","Low calcium levels, osteoporosis, bone health"
22,Shelcal 500,Calcium Carbonate 500mg + Vitamin D3 250 IU,115,58,"osteoporosis, calcium and vitamin D deficiency (chronic)",Adults with calcium and vitamin D deficiency,"Low calcium, vitamin D deficiency, osteoporosis, bone health"
23,Becosules,Vitamin B Complex + Vitamin C,38,18,"vitamin deficiency, fatigue (chronic deficiency)","Adults with vitamin deficiency, fatigue","Vitamin B and C deficiency, tiredness, weakness"
24,Neurobion Forte,Vitamin B1 + B6 + B12,42,22,"neuropathy, vitamin B deficiency (chronic)","Adults with neuropathy, vitamin B deficiency","Nerve damage, tingling, numbness, vitamin B deficiency"
25,Omez 20,Omeprazole 20mg,95,42,"GERD, peptic ulcer disease (chronic)","Adults with acidity, GERD, ulcers","Acidity, heartburn, gastric ulcer, duodenal ulcer"
26,Ranitidine 150,Ranitidine 150mg,18,8,"GERD, peptic ulcer (chronic)","Adults with acidity, ulcers","Acidity, heartburn, stomach ulcer"
27,Domperidone 10,Domperidone 10mg,22,10,"nausea, vomiting, gastroparesis","Adults with nausea, vomiting, bloating","Nausea, vomiting, bloating, gastroparesis"
28,Ondem 4,Ondansetron 4mg,45,22,"nausea, vomiting (chemotherapy, post-op)","Adults and children with nausea, vomiting","Nausea and vomiting due to chemotherapy, surgery, radiation"
29,Disprin,Aspirin 325mg,12,5,"pain, fever, cardiovascular protection (chronic)","Adults for pain relief, cardiovascular protection","Mild pain, fever, prevention of heart attack and stroke"
30,Ecosprin 75,Aspirin 75mg,8,3,cardiovascular protection (chronic),"Adults with cardiovascular risk, post-MI","Prevention of heart attack, stroke, blood clot prevention"
31,Clopivas 75,Clopidogrel 75mg,185,95,"cardiovascular protection, antiplatelet (chronic)","Adults post-MI, post-stroke, peripheral artery disease","Prevention of heart attack, stroke, blood clot prevention"
32,Eliquis 5,Apixaban 5mg,895,650,"atrial fibrillation, deep vein thrombosis (chronic)","Adults with atrial fibrillation, DVT, PE","Prevention of stroke, blood clot prevention"
33,Warfarin 5,Warfarin Sodium 5mg,12,5,"atrial fibrillation, DVT, PE (chronic)","Adults with atrial fibrillation, DVT, PE","Prevention of stroke, blood clot prevention"
34,Combiflam,Ibuprofen 400mg + Paracetamol 325mg,28,15,"pain, fever, inflammation (acute)",Adults and children for pain and fever,"Fever, headache, toothache, muscle pain, joint pain"
35,Brufen 400,Ibuprofen 400mg,22,10,"pain, fever, inflammation (acute)",Adults and children for pain and fever,"Fever, headache, toothache, muscle pain, menstrual pain"
36,Voveran 50,Diclofenac 50mg,35,18,"pain, inflammation, arthritis (chronic)","Adults with arthritis, muscle pain, joint pain","Arthritis, muscle pain, joint pain, inflammation"
37,Aceclofenac 100,Aceclofenac 100mg,28,12,"pain, inflammation, arthritis (chronic)","Adults with arthritis, pain","Arthritis, muscle pain, joint pain, inflammation"
38,Zerodol P,Aceclofenac 100mg + Paracetamol 325mg,42,22,"pain, inflammation (acute and chronic)",Adults with pain and inflammation,"Arthritis, muscle pain, joint pain, fever, inflammation"
39,Tramadol 50,Tramadol 50mg,45,22,moderate to severe pain (acute and chronic),Adults with moderate to severe pain,"Post-operative pain, chronic pain, cancer pain"
40,Gabapentin 300,Gabapentin 300mg,85,45,"neuropathic pain, seizures (chronic)","Adults with neuropathic pain, epilepsy","Nerve pain, tingling, burning sensation, seizures"
41,Pregabalin 75,Pregabalin 75mg,125,68,"neuropathic pain, fibromyalgia, anxiety (chronic)","Adults with neuropathic pain, fibromyalgia","Nerve pain, fibromyalgia, generalized anxiety disorder"
42,Levera 500,Levetiracetam 500mg,145,78,"epilepsy, seizures (chronic)",Adults and children with epilepsy,"Seizures, epilepsy"
43,Phenytoin 100,Phenytoin Sodium 100mg,12,5,"epilepsy, seizures (chronic)",Adults and children with epilepsy,"Seizures, epilepsy, status epilepticus"
44,Valproate 500,Sodium Valproate 500mg,55,28,"epilepsy, bipolar disorder, migraine (chronic)","Adults and children with epilepsy, bipolar disorder","Seizures, epilepsy, mania, migraine prevention"
45,Carbamazepine 200,Carbamazepine 200mg,22,10,"epilepsy, trigeminal neuralgia (chronic)","Adults and children with epilepsy, nerve pain","Seizures, epilepsy, facial nerve pain"
46,Clonazepam 0.5,Clonazepam 0.5mg,18,8,"anxiety, panic disorder, seizures (chronic)","Adults with anxiety, panic disorder, seizures","Anxiety, panic attacks, seizures"
47,Alprazolam 0.5,Alprazolam 0.5mg,15,6,"anxiety, panic disorder (chronic)","Adults with anxiety, panic disorder","Anxiety, panic attacks, nervousness"
48,Lorazepam 2,Lorazepam 2mg,28,12,"anxiety, insomnia (chronic)","Adults with anxiety, insomnia","Anxiety, sleep problems, agitation"
49,Diazepam 5,Diazepam 5mg,12,5,"anxiety, muscle spasm, seizures (chronic)","Adults with anxiety, muscle spasm","Anxiety, muscle spasm, seizures, alcohol withdrawal"
50,Escitalopram 10,Escitalopram 10mg,95,48,"depression, anxiety (chronic)","Adults with depression, generalized anxiety disorder","Depression, anxiety, panic disorder, OCD"
51,Fluoxetine 20,Fluoxetine 20mg,42,22,"depression, OCD, bulimia (chronic)","Adults with depression, OCD","Depression, obsessive-compulsive disorder, bulimia nervosa"
52,Sertraline 50,Sertraline 50mg,68,35,"depression, anxiety, PTSD (chronic)","Adults with depression, anxiety, PTSD","Depression, anxiety, panic disorder, PTSD, OCD"
53,Paroxetine 20,Paroxetine 20mg,75,38,"depression, anxiety, OCD (chronic)","Adults with depression, anxiety disorders","Depression, generalized anxiety disorder, panic disorder, OCD"
54,Venlafaxine 75,Venlafaxine 75mg,110,58,"depression, anxiety (chronic)","Adults with depression, generalized anxiety disorder","Depression, generalized anxiety disorder"
55,Duloxetine 30,Duloxetine 30mg,185,95,"depression, anxiety, neuropathic pain (chronic)","Adults with depression, anxiety, diabetic neuropathy","Depression, generalized anxiety disorder, diabetic nerve pain"
56,Amitriptyline 25,Amitriptyline 25mg,18,8,"depression, neuropathic pain, migraine (chronic)","Adults with depression, nerve pain, migraine","Depression, neuropathic pain, migraine prevention"
57,Quetiapine 100,Quetiapine 100mg,125,68,"bipolar disorder, schizophrenia (chronic)","Adults with bipolar disorder, schizophrenia","Bipolar disorder, schizophrenia, depression"
58,Olanzapine 10,Olanzapine 10mg,145,78,"schizophrenia, bipolar disorder (chronic)","Adults with schizophrenia, bipolar disorder","Schizophrenia, bipolar disorder, acute mania"
59,Risperidone 2,Risperidone 2mg,85,45,"schizophrenia, bipolar disorder (chronic)","Adults and children with schizophrenia, bipolar disorder","Schizophrenia, bipolar disorder, irritability in autism"
60,Aripiprazole 10,Aripiprazole 10mg,165,88,"schizophrenia, bipolar disorder (chronic)","Adults with schizophrenia, bipolar disorder","Schizophrenia, bipolar disorder, depression adjunct"
61,Donepezil 5,Donepezil 5mg,195,105,Alzheimer's disease (chronic),Adults with mild to moderate Alzheimer's disease,"Memory loss, cognitive decline in Alzheimer's disease"
62,Rivastigmine 1.5,Rivastigmine 1.5mg,145,78,"Alzheimer's disease, Parkinson's dementia (chronic)",Adults with Alzheimer's or Parkinson's dementia,"Memory loss, cognitive decline, dementia"
63,Memantine 10,Memantine 10mg,185,98,Alzheimer's disease (chronic),Adults with moderate to severe Alzheimer's disease,"Memory loss, cognitive decline in Alzheimer's disease"
64,Pramipexole 0.5,Pramipexole 0.5mg,125,68,"Parkinson's disease, restless legs (chronic)","Adults with Parkinson's disease, restless legs syndrome","Tremor, stiffness, movement problems, restless legs"
65,Levodopa + Carbidopa,Levodopa 100mg + Carbidopa 25mg,95,48,Parkinson's disease (chronic),Adults with Parkinson's disease,"Tremor, stiffness, slow movement, balance problems"
66,Ropinirole 2,Ropinirole 2mg,145,75,"Parkinson's disease, restless legs (chronic)","Adults with Parkinson's disease, restless legs syndrome","Tremor, stiffness, movement problems, restless legs"
67,Selegiline 5,Selegiline 5mg,85,45,Parkinson's disease (chronic),Adults with Parkinson's disease,"Tremor, stiffness, slow movement"
68,Salbutamol Inhaler,Salbutamol 100mcg,145,78,"asthma, COPD (chronic respiratory)","Adults and children with asthma, COPD","Wheezing, shortness of breath, chest tightness"
69,Budecort Inhaler,Budesonide 200mcg,385,225,"asthma, COPD (chronic respiratory)","Adults and children with asthma, COPD","Wheezing, shortness of breath, asthma prevention"
70,Seroflo Inhaler,Fluticasone 250mcg + Salmeterol 25mcg,625,425,"asthma, COPD (chronic respiratory)","Adults and children with asthma, COPD","Wheezing, shortness of breath, asthma and COPD control"
71,Duolin Inhaler,Ipratropium 20mcg + Salbutamol 100mcg,295,185,"asthma, COPD (chronic respiratory)","Adults and children with asthma, COPD","Wheezing, shortness of breath, bronchospasm"
72,Deriphyllin,Theophylline 300mg,42,22,"asthma, COPD (chronic respiratory)","Adults with asthma, COPD","Wheezing, shortness of breath, chronic bronchitis"
73,Montelukast 10,Montelukast 10mg,85,45,"asthma, allergic rhinitis (chronic)","Adults and children with asthma, allergies","Wheezing, shortness of breath, runny nose, allergies"
74,Cetirizine 10,Cetirizine 10mg,15,6,"allergic rhinitis, urticaria (chronic allergies)",Adults and children with allergies,"Runny nose, sneezing, itching, hives"
75,Levocetirizine 5,Levocetirizine 5mg,28,12,"allergic rhinitis, urticaria (chronic allergies)",Adults and children with allergies,"Runny nose, sneezing, itching, hives"
76,Chlorpheniramine 4,Chlorpheniramine 4mg,8,3,"allergic rhinitis, urticaria (acute allergies)",Adults and children with allergies,"Runny nose, sneezing, itching, hives, cold symptoms"
77,Pheniramine 25,Pheniramine 25mg,12,5,allergic conditions (acute),Adults with allergic reactions,"Allergic reactions, itching, hives"
78,Hydroxyzine 25,Hydroxyzine 25mg,106,58,"anxiety, allergic conditions (chronic)","Adults with anxiety, allergic reactions","Anxiety, itching, allergic reactions"
79,Prednisolone 10,Prednisolone 10mg,18,8,"inflammation, allergies, autoimmune (chronic)","Adults and children with inflammation, allergies","Allergies, asthma, arthritis, autoimmune diseases"
80,Dexamethasone 4,Dexamethasone 4mg,22,10,"inflammation, allergies, cerebral edema (acute and chronic)",Adults and children with severe inflammation,"Severe allergies, cerebral edema, inflammation"
81,Methylprednisolone 16,Methylprednisolone 16mg,95,48,"inflammation, allergies, autoimmune (chronic)","Adults with inflammation, autoimmune diseases","Arthritis, allergies, autoimmune diseases, inflammation"
82,Hydrocortisone 10,Hydrocortisone 10mg,35,18,"adrenal insufficiency, inflammation (chronic)","Adults with adrenal insufficiency, inflammation","Adrenal insufficiency, allergies, inflammation"
83,Fludrocortisone 0.1,Fludrocortisone 0.1mg,125,68,adrenal insufficiency (chronic),"Adults with adrenal insufficiency, orthostatic hypotension","Low blood pressure, adrenal insufficiency"
84,Spironolactone 25,Spironolactone 25mg,22,10,"heart failure, hypertension, edema (chronic)","Adults with heart failure, high blood pressure, edema","Fluid retention, high blood pressure, heart failure"
85,Hydrochlorothiazide 12.5,Hydrochlorothiazide 12.5mg,12,5,"hypertension, edema (chronic)","Adults with high blood pressure, fluid retention","High blood pressure, fluid retention"
86,Chlorthalidone 12.5,Chlorthalidone 12.5mg,18,8,"hypertension, edema (chronic)",Adults with high blood pressure,"High blood pressure, fluid retention"
87,Indapamide 2.5,Indapamide 2.5mg,42,22,hypertension (chronic),Adults with high blood pressure,High blood pressure
88,Digoxin 0.25,Digoxin 0.25mg,8,3,"heart failure, atrial fibrillation (chronic)","Adults with heart failure, atrial fibrillation","Heart failure, irregular heartbeat"
89,Ivabradine 5,Ivabradine 5mg,185,95,"angina, heart failure (chronic)","Adults with angina, heart failure","Chest pain, heart failure, fast heart rate"
90,Nitroglycerin 2.6,Nitroglycerin 2.6mg,22,10,angina (chronic),Adults with angina,"Chest pain, angina prevention"
91,Isosorbide Dinitrate 10,Isosorbide Dinitrate 10mg,18,8,"angina, heart failure (chronic)","Adults with angina, heart failure","Chest pain, heart failure"
92,Isosorbide Mononitrate 20,Isosorbide Mononitrate 20mg,28,12,angina (chronic),Adults with angina,"Chest pain, angina prevention"
93,Rosuvastatin 10,Rosuvastatin 10mg,145,75,"dyslipidemia, high cholesterol (chronic)",Adults with high cholesterol,"High cholesterol, prevention of heart attack and stroke"
94,Simvastatin 20,Simvastatin 20mg,55,28,"dyslipidemia, high cholesterol (chronic)",Adults with high cholesterol,"High cholesterol, prevention of cardiovascular disease"
95,Pravastatin 40,Pravastatin 40mg,95,48,"dyslipidemia, high cholesterol (chronic)",Adults with high cholesterol,"High cholesterol, prevention of cardiovascular disease"
96,Fenofibrate 145,Fenofibrate 145mg,125,68,hypertriglyceridemia (chronic),Adults with high triglycerides,"High triglycerides, mixed dyslipidemia"
97,Gemfibrozil 600,Gemfibrozil 600mg,85,45,hypertriglyceridemia (chronic),Adults with high triglycerides,"High triglycerides, low HDL cholesterol"
98,Ezetimibe 10,Ezetimibe 10mg,165,88,high cholesterol (chronic),Adults with high cholesterol,"High cholesterol, cholesterol absorption inhibition"
99,Allopurinol 100,Allopurinol 100mg,12,5,"gout, hyperuricemia (chronic)","Adults with gout, high uric acid","Gout attacks, high uric acid levels, kidney stones"
100,Febuxostat 40,Febuxostat 40mg,185,95,"gout, hyperuricemia (chronic)","Adults with gout, high uric acid","Gout attacks, high uric acid levels"
101,Colchicine 0.5,Colchicine 0.5mg,45,22,gout (acute and chronic),Adults with gout attacks,"Acute gout attacks, gout prevention"
102,Methotrexate 7.5,Methotrexate 7.5mg,85,45,"rheumatoid arthritis, psoriasis (chronic)","Adults with rheumatoid arthritis, psoriasis","Rheumatoid arthritis, psoriasis, autoimmune diseases"
103,Hydroxychloroquine 200,Hydroxychloroquine 200mg,42,22,"rheumatoid arthritis, lupus, malaria (chronic)","Adults with rheumatoid arthritis, lupus","Rheumatoid arthritis, lupus, malaria prevention"
104,Sulfasalazine 500,Sulfasalazine 500mg,28,12,"rheumatoid arthritis, ulcerative colitis (chronic)","Adults with rheumatoid arthritis, ulcerative colitis","Rheumatoid arthritis, ulcerative colitis, Crohn's disease"
105,Mesalamine 400,Mesalamine 400mg,145,75,"ulcerative colitis, Crohn's disease (chronic)",Adults with inflammatory bowel disease,"Ulcerative colitis, Crohn's disease, inflammation"
106,Azathioprine 50,Azathioprine 50mg,55,28,"organ transplant, autoimmune diseases (chronic)","Adults with organ transplant, autoimmune diseases","Organ transplant rejection, rheumatoid arthritis, lupus"
107,Cyclosporine 25,Cyclosporine 25mg,185,95,"organ transplant, autoimmune diseases (chronic)","Adults with organ transplant, severe psoriasis","Organ transplant rejection, severe autoimmune diseases"
108,Tacrolimus 1,Tacrolimus 1mg,295,165,organ transplant (chronic),Adults with organ transplant,Organ transplant rejection prevention
109,Mycophenolate 500,Mycophenolate Mofetil 500mg,225,125,organ transplant (chronic),Adults with organ transplant,Organ transplant rejection prevention
110,Alendronate 70,Alendronate 70mg,95,48,osteoporosis (chronic),"Postmenopausal women, adults with osteoporosis","Osteoporosis, bone fracture prevention"
111,Risedronate 35,Risedronate 35mg,145,75,osteoporosis (chronic),"Postmenopausal women, adults with osteoporosis","Osteoporosis, bone fracture prevention"
112,Ibandronate 150,Ibandronate 150mg,385,225,osteoporosis (chronic),Postmenopausal women with osteoporosis,"Osteoporosis, bone fracture prevention"
113,Raloxifene 60,Raloxifene 60mg,165,88,"osteoporosis, breast cancer prevention (chronic)",Postmenopausal women,"Osteoporosis, breast cancer risk reduction"
114,Teriparatide Injection,Teriparatide 20mcg,6500,5200,severe osteoporosis (chronic),Adults with severe osteoporosis,"Severe osteoporosis, fracture risk reduction"
115,Calcitriol 0.25,Calcitriol 0.25mcg,45,22,"vitamin D deficiency, chronic kidney disease (chronic)","Adults with vitamin D deficiency, CKD","Low vitamin D, calcium absorption, chronic kidney disease"
116,Alfacalcidol 0.25,Alfacalcidol 0.25mcg,55,28,"vitamin D deficiency, osteomalacia (chronic)","Adults with vitamin D deficiency, bone disorders","Low vitamin D, osteomalacia, renal osteodystrophy"
117,Finasteride 5,Finasteride 5mg,85,45,"benign prostatic hyperplasia, hair loss (chronic)","Adult men with enlarged prostate, male pattern baldness","Enlarged prostate, urinary symptoms, hair loss"
118,Dutasteride 0.5,Dutasteride 0.5mg,145,75,benign prostatic hyperplasia (chronic),Adult men with enlarged prostate,"Enlarged prostate, urinary symptoms"
119,Tamsulosin 0.4,Tamsulosin 0.4mg,95,48,benign prostatic hyperplasia (chronic),Adult men with enlarged prostate,"Enlarged prostate, difficulty urinating"
120,Sildenafil 50,Sildenafil 50mg,145,75,"erectile dysfunction, pulmonary hypertension (chronic)","Adult men with erectile dysfunction, PAH","Erectile dysfunction, pulmonary arterial hypertension"
121,Tadalafil 10,Tadalafil 10mg,185,95,"erectile dysfunction, benign prostatic hyperplasia (chronic)","Adult men with erectile dysfunction, BPH","Erectile dysfunction, enlarged prostate symptoms"
122,Vardenafil 10,Vardenafil 10mg,225,125,erectile dysfunction (chronic),Adult men with erectile dysfunction,Erectile dysfunction
123,Norethisterone 5,Norethisterone 5mg,42,22,"abnormal uterine bleeding, endometriosis (chronic)","Women with menstrual disorders, endometriosis","Heavy menstrual bleeding, endometriosis, menstrual irregularities"
124,Tranexamic Acid 500,Tranexamic Acid 500mg,55,28,heavy menstrual bleeding (chronic),Women with heavy menstrual bleeding,"Heavy menstrual bleeding, menorrhagia"
125,Mefenamic Acid 500,Mefenamic Acid 500mg,28,12,"menstrual pain, inflammation (acute)",Women with menstrual pain,"Menstrual pain, dysmenorrhea"
126,Ethinyl Estradiol + Levonorgestrel,Ethinyl Estradiol 0.03mg + Levonorgestrel 0.15mg,145,75,"contraception, menstrual regulation (chronic)",Women seeking contraception,"Birth control, menstrual cycle regulation"
127,Medroxyprogesterone 10,Medroxyprogesterone 10mg,55,28,"abnormal uterine bleeding, contraception (chronic)","Women with menstrual disorders, contraception","Abnormal uterine bleeding, contraception, endometrial protection"
128,Clomiphene 50,Clomiphene Citrate 50mg,125,68,infertility (chronic),Women with ovulatory dysfunction,"Female infertility, ovulation induction"
129,Letrozole 2.5,Letrozole 2.5mg,165,88,"breast cancer, infertility (chronic)","Women with breast cancer, ovulatory dysfunction","Breast cancer, ovulation induction, infertility"
130,Tamoxifen 20,Tamoxifen 20mg,95,48,breast cancer (chronic),Women with breast cancer,Breast cancer treatment and prevention
131,Iron Folic Acid,Ferrous Sulfate 150mg + Folic Acid 0.5mg,18,8,iron deficiency anemia (chronic),"Pregnant women, adults with anemia","Anemia, iron deficiency, pregnancy nutrition"
132,Ferrous Sulfate 325,Ferrous Sulfate 325mg,12,5,iron deficiency anemia (chronic),Adults and children with iron deficiency,"Anemia, iron deficiency"
133,Ferrous Fumarate 200,Ferrous Fumarate 200mg,18,8,iron deficiency anemia (chronic),Adults and children with iron deficiency,"Anemia, iron deficiency"
134,Vitamin B12 1500mcg,Methylcobalamin 1500mcg,85,45,"vitamin B12 deficiency, neuropathy (chronic)","Adults with B12 deficiency, neuropathy","Vitamin B12 deficiency, nerve damage, pernicious anemia"
135,Folic Acid 5,Folic Acid 5mg,8,3,"folate deficiency, pregnancy (chronic)","Pregnant women, adults with folate deficiency","Folate deficiency, neural tube defect prevention"
136,Vitamin D3 60000 IU,Cholecalciferol 60000 IU,42,22,vitamin D deficiency (chronic),Adults with vitamin D deficiency,"Low vitamin D, bone health, immunity"
137,Vitamin C 500,Ascorbic Acid 500mg,18,8,"vitamin C deficiency, immunity (chronic)",Adults with vitamin C deficiency,"Vitamin C deficiency, immunity support, scurvy"
138,Multivitamin,Multivitamin + Multimineral,95,48,nutritional deficiency (chronic),Adults with nutritional deficiency,"Vitamin and mineral deficiency, general health"
139,Omega-3 1000,Omega-3 Fatty Acids 1000mg,125,68,"cardiovascular health, hypertriglyceridemia (chronic)","Adults with high triglycerides, cardiovascular risk","High triglycerides, heart health, inflammation"
140,Coenzyme Q10 100,Coenzyme Q10 100mg,185,95,"heart health, mitochondrial support (chronic)","Adults with heart failure, statin users","Heart health, muscle pain from statins, energy production"
141,Gliclazide 80,Gliclazide 80mg,42,22,type 2 diabetes (chronic),Adults with type 2 diabetes,High blood sugar in type 2 diabetes mellitus
142,Glibenclamide 5,Glibenclamide 5mg,12,5,type 2 diabetes (chronic),Adults with type 2 diabetes,High blood sugar in type 2 diabetes mellitus
143,Pioglitazone 15,Pioglitazone 15mg,55,28,type 2 diabetes (chronic),Adults with type 2 diabetes,"High blood sugar, insulin resistance"
144,Sitagliptin 100,Sitagliptin 100mg,185,95,type 2 diabetes (chronic),Adults with type 2 diabetes,High blood sugar in type 2 diabetes mellitus
145,Vildagliptin 50,Vildagliptin 50mg,145,75,type 2 diabetes (chronic),Adults with type 2 diabetes,High blood sugar in type 2 diabetes mellitus
146,Saxagliptin 5,Saxagliptin 5mg,225,125,type 2 diabetes (chronic),Adults with type 2 diabetes,High blood sugar in type 2 diabetes mellitus
147,Empagliflozin 10,Empagliflozin 10mg,385,225,"type 2 diabetes, heart failure (chronic)","Adults with type 2 diabetes, heart failure","High blood sugar, heart failure, cardiovascular protection"
148,Dapagliflozin 10,Dapagliflozin 10mg,385,225,"type 2 diabetes, heart failure (chronic)","Adults with type 2 diabetes, heart failure","High blood sugar, heart failure, kidney protection"
149,Canagliflozin 100,Canagliflozin 100mg,425,245,type 2 diabetes (chronic),Adults with type 2 diabetes,"High blood sugar, cardiovascular risk reduction"
150,Liraglutide Injection,Liraglutide 6mg/ml,4500,3800,"type 2 diabetes, obesity (chronic)","Adults with type 2 diabetes, obesity","High blood sugar, weight loss, cardiovascular protection"
151,Exenatide Injection,Exenatide 5mcg,2850,2200,type 2 diabetes (chronic),Adults with type 2 diabetes,"High blood sugar, weight loss"
152,Insulin Aspart,Insulin Aspart 100 IU/ml,1450,1150,"type 1 diabetes, type 2 diabetes (chronic)",Adults and children with diabetes,"High blood sugar, rapid-acting insulin therapy"
153,Insulin Lispro,Insulin Lispro 100 IU/ml,1550,1250,"type 1 diabetes, type 2 diabetes (chronic)",Adults and children with diabetes,"High blood sugar, rapid-acting insulin therapy"
154,Insulin Detemir,Insulin Detemir 100 IU/ml,1850,1450,"type 1 diabetes, type 2 diabetes (chronic)",Adults and children with diabetes,Long-term blood sugar control in diabetes mellitus
155,Insulin Degludec,Insulin Degludec 100 IU/ml,2250,1850,"type 1 diabetes, type 2 diabetes (chronic)",Adults with diabetes,"Long-term blood sugar control, ultra-long acting insulin"
156,Acarbose 50,Acarbose 50mg,85,45,type 2 diabetes (chronic),Adults with type 2 diabetes,"High blood sugar, post-meal glucose control"
157,Voglibose 0.3,Voglibose 0.3mg,95,48,type 2 diabetes (chronic),Adults with type 2 diabetes,"High blood sugar, post-meal glucose control"
158,Repaglinide 1,Repaglinide 1mg,125,68,type 2 diabetes (chronic),Adults with type 2 diabetes,High blood sugar in type 2 diabetes mellitus
159,Nateglinide 120,Nateglinide 120mg,145,75,type 2 diabetes (chronic),Adults with type 2 diabetes,"High blood sugar, post-meal glucose control"
160,Chloroquine 250,Chloroquine Phosphate 250mg,18,8,"malaria, amoebiasis (acute and prophylaxis)",Adults and children for malaria prevention and treatment,"Malaria, amoebiasis"
161,Primaquine 15,Primaquine 15mg,22,10,malaria (acute),Adults for malaria radical cure,"Malaria radical cure, prevention of relapse"
162,Artemether + Lumefantrine,Artemether 20mg + Lumefantrine 120mg,185,95,malaria (acute),Adults and children with malaria,Malaria treatment
163,Ciprofloxacin 500,Ciprofloxacin 500mg,28,12,bacterial infections (acute),Adults with bacterial infections,"Urinary tract infection, respiratory infection, gastrointestinal infection"
164,Levofloxacin 500,Levofloxacin 500mg,85,45,bacterial infections (acute),Adults with bacterial infections,"Respiratory infection, urinary tract infection, skin infection"
165,Ofloxacin 200,Ofloxacin 200mg,22,10,bacterial infections (acute),Adults with bacterial infections,"Urinary tract infection, respiratory infection, skin infection"
166,Norfloxacin 400,Norfloxacin 400mg,18,8,urinary tract infection (acute),Adults with urinary tract infection,Urinary tract infection
167,Cefixime 200,Cefixime 200mg,85,45,bacterial infections (acute),Adults and children with bacterial infections,"Respiratory infection, urinary tract infection, ear infection"
168,Ceftriaxone 1g Injection,Ceftriaxone 1g,45,22,severe bacterial infections (acute),Adults and children with severe infections,"Severe bacterial infections, meningitis, sepsis"
